row_number,customer_loyalty_id,customer_last_name,customer_first_name,customer_phone_number,customer_postal_code
1,e0182375-f127-46d4-b152-07ffa4839271,Richard,Katherine,14759382421,65110
2,3479dcf8-8995-42ca-a2d4-23c65b1b9302,Montgomery,John,19241157815,63820
3,9db5830f-36bd-4450-87bd-c754796a909e,Hamilton,Cheryl,18778408016,65255
4,aeee026c-d517-474a-9d71-31b4cb8612b2,Page,Kristen,13513933287,65240
5,aa1a664c-d8cc-4ebf-9a54-9aa43ee73e21,Davis,Victoria,11858398947,62526
6,04a60e96-9b04-42f5-9f04-de4582f0d3d8,Davis,Lauren,12094711220,60462
7,3b228ec6-bc20-4b49-8074-85dd05cec9d4,Kirby,Rachael,16848339694,64507
8,05bc364f-9163-4cce-8290-fbe64ea56e5b,Hayes,Donna,19179533041,32771
9,86ced926-677f-40c7-8dae-7aaacf0feac7,Thornton,Nathan,15601230989,63540
10,1bf55ce9-06db-483e-b62f-1b3ac4053fc2,Becker,Anthony,16151090321,61641
11,a7f14513-0cf4-4ab9-84ac-81ba93548782,Mendoza,Jessica,10869141314,33021
12,0a84fed2-01ed-477a-a4d7-963087b5e4a2,Bell,Henry,13457923022,60045
13,97ecb963-546c-486e-b147-cef5cf3f8031,Peterson,John,17698456428,43413
14,6c33cfca-8bdf-4045-ba5f-3f01b6e2c51a,Vazquez,Stephen,15084237594,29437
15,9a17775c-9dd1-40b7-8f04-8a4703494fee,Nunez,Brittany,16109352337,61333
16,1b0a0912-1a4a-45a0-8fa2-78933c49a7a4,Gray,Nancy,16069602714,33405
17,8001fef8-78dd-4684-a5a1-d2cc89bd5d33,Miles,Sean,17547063812,44333
18,e10aefa8-33b0-47a0-9bf7-f3a95113eac0,Hatfield,Richard,10891319344,43147
19,1ef4bfd8-5ce2-456f-b105-3053c33fa937,Barker,Ian,17142851240,44634
20,667d16d6-62b1-4f1e-a526-c985c59bf485,Williams,Jamie,19097765823,61882
21,13dc425e-563d-4852-b2b7-2a09b94c7040,Bennett,Kelly,12455515900,60179
22,9c245285-3f6b-4b78-aed4-d683cd42d0a7,Nelson,Edward,14568241730,12747
23,80d2a3cc-6f65-4926-a5fa-094ff9296a8c,Parker,Melody,14611877551,32792
24,640a94d3-49c8-46e8-b0ea-e4d5bdc00647,Mendoza,Holly,19611133060,36016
25,d045403b-05fc-45af-ad57-8e04b52ef4e8,Garcia,Angela,16153492635,29715
26,9677d29a-fc88-4d6a-8bab-36706e66ffd3,Wilson,Lynn,13176430392,76518
27,b31a1b02-af7a-407b-93af-62fbf6bc9710,Garcia,Stephen,19729668757,78014
28,c9998830-5ab4-4386-8c4f-3a28b8dfd31f,Bolton,Cynthia,18930555082,62206
29,aae169e6-375a-4446-aaad-38ca7eb6d2c9,Baxter,Carrie,16947118013,10152
30,634e2552-3187-4b58-8792-7b15fd08393e,Anderson,Kevin,15868809189,80044
31,e1d6f081-f72d-41e0-8d05-47f6df72b6de,Mooney,Julie,17699300248,80211
32,e6320a01-100f-4c69-902d-bcc83f1eb3e1,Hudson,Marvin,16022345007,11422
33,c13e87b1-eb73-4922-99da-b4acd5a0bf97,Butler,Travis,16097670172,75668
34,dc1125e2-055b-4e66-8c5d-ac3f413f4479,Smith,Carmen,15185367109,62338
35,e99907e0-bec1-4816-bf96-4547bf379540,Haynes,Christina,14183067537,10122
36,382e479c-a17b-4fa8-8b85-18a3d58e902b,Kelly,Crystal,10740899331,43135
37,600266ac-5e18-4251-adaf-a059ac09e940,Frank,Nicole,14126961161,10309
38,26487452-4a1c-4a11-9a65-f906bd039317,Garcia,Kim,10754151150,11106
39,3ea82e3b-b6db-45eb-b759-4900a573b78a,Reed,Gregory,15192303104,79928
40,823a9443-ac0d-4efb-95e7-8bdce014738f,Wood,Angel,17175420355,80124
41,c0c4643b-bd4f-4232-b891-659799228508,Kennedy,Kelly,15291189426,12046
42,32c77228-8890-42e9-9c1c-ff9dbdbe0572,Hurst,Sonya,15833245602,75109
43,1282a692-b60a-468c-9e92-bc6d71a056ed,Burke,Phillip,14862964513,33132
44,ea149788-2f86-4bd9-8df8-8f1e65a5237b,Wallace,Mike,15735471214,32044
45,4a7bf947-f675-4f67-a4f7-da66b1a32be1,Rodriguez,Catherine,17626623758,60935
46,4e998e65-c2ba-48ce-926c-caab949c569d,Thomas,Steven,10797034148,45885
47,54d1910c-68e2-43d5-add1-4618b77eaa7a,Lynch,Roger,16401400468,32511
48,1f2d862f-18f9-4c58-a4b3-45b3db796ad4,Zamora,Jennifer,14391014485,79230
49,97ad7cde-882f-4b35-b155-c1bc17834c22,Wilson,Michele,18298381686,61843
50,2a8e2593-9807-4efd-aa44-36e627f35376,Figueroa,Rebecca,19221166972,60707
51,9549d222-45cf-4eba-8737-fe1e87d400d5,Castro,Kerry,17857074270,61517
52,27cad89a-eb58-4065-a4d8-69cf833e313e,Clay,Jason,18116050190,77338
53,618444df-1a60-43ae-bb24-698b38e7e786,Key,Morgan,19431675625,29588
54,6de6c824-0f11-4377-ab64-a5e7fc41d6a8,Fisher,Phyllis,12327566763,65457
55,b4a395b1-165d-4174-93b9-ccf601f432fd,Pope,Scott,19060312502,62334
56,8185202b-4706-452d-a20e-8f44bc4804d4,Hall,Kenneth,18456708869,79220
57,0fbcb773-42cb-475d-963c-41ef5eeecd36,Gibson,Jonathan,10025040216,60512
58,b840d635-6932-4795-8c37-9d0bcc63326c,Becker,Tara,15919155875,33325
59,7ff5b5dd-26fb-4f36-b734-caf92b4657fc,Scott,Alejandra,15138533444,45835
60,10a27af3-5860-4743-bc01-36bb4309f16c,Black,Paul,18107770677,11439
61,511ed47d-4be3-4a52-b7e5-49c7703a7006,Alexander,Christopher,11263791686,65001
62,6755615f-3d98-4737-9004-d69a2a09b024,Williams,Henry,15618498347,64443
63,cf96d80e-620b-4b4f-b346-83828a391ca8,Palmer,Steven,11912633408,75355
64,048e9595-17a8-41fc-80a6-06ca24ad196e,Robertson,Michele,16419538433,76649
65,0bd42dab-c673-41a0-96b2-d12f5dc93e56,Brown,Kyle,12208855902,75709
66,5b131659-3019-4235-82e0-98adbc84a35c,Mcdowell,Eric,18123793323,62880
67,2df4b7df-3344-4e69-83ab-33aabb8b6131,Wolf,Michael,12719089577,75025
68,2a743fc8-b7e6-47e3-b5a3-b8ab806527d8,Parker,Susan,12778514296,43822
69,68effe8f-4917-4e28-8c34-a16030a48045,Warner,Lorraine,15357345240,45201
70,503cec84-9c67-4752-81c3-26a1276f91c9,Kelly,Amber,10030035105,75784
71,e9946638-1a80-418e-b2c6-92e88f30aa34,Stanton,Roberto,17625425660,78009
72,bb0cf9e0-c317-4001-b76e-47d525b74100,Ortiz,Joseph,17091662082,45846
73,a3051778-2cf8-4fdf-b056-1669dbfa1058,Howell,Ebony,12302821691,65055
74,0fe15ff1-b29d-4991-b603-5a424e690a79,Oliver,Stephen,19904560071,29727
75,5af7924b-0487-49bf-8e32-794bf77e9bb1,Howard,Emily,12654760484,77991
76,1c99f61c-33d7-4035-b2e8-33bb13a9f458,Pierce,Tiffany,17616570040,34285
77,3844157a-114c-4cbc-968a-7c30f702f9a7,King,Erin,18564319539,62078
78,3ee4b12b-d7b4-4a47-858f-860fa3a302ed,Craig,Amanda,10909255445,32816
79,4b4fef43-ff1a-4ed6-bbd4-00d9a0102340,Simpson,Richard,17250749318,76429
80,30a6cfe5-89f3-4b23-8d75-59fe203e518e,Boyle,Joshua,18212918896,79768
81,b75e853f-1bc4-42c8-9ebb-613176b251a6,Fischer,Joseph,18885536208,76136
82,d084d4eb-9978-464e-8ef6-fad8f8e9536f,Moore,Donna,16570869305,32058
83,98395614-ad13-47e3-82c0-999d618cd2a8,Rice,Shelly,19342619737,78119
84,c54f15f6-db04-45ff-9de4-f060a1231ccf,Shields,Patty,17166446595,33675
85,f458a543-dfd7-404c-a8c1-6c63aea441da,Davis,Anthony,14366660975,10007
